Namespace(batch_size=64, do_chkpt=False, nodes=1, nr=0, num_proc=2, world_size=2)
torch.Size([1024, 3072])
torch.Size([1024])
torch.Size([512, 1024])
torch.Size([512])
torch.Size([256, 512])
torch.Size([256])
torch.Size([128, 256])
torch.Size([128])
torch.Size([64, 128])
torch.Size([64])
torch.Size([32, 64])
torch.Size([32])
torch.Size([10, 32])
torch.Size([10])
Downloading http://ufldl.stanford.edu/housenumbers/extra_32x32.mat to ./datasets/extra_32x32.mat
Downloading http://ufldl.stanford.edu/housenumbers/train_32x32.mat to ./datasets/train_32x32.mat
Downloading http://ufldl.stanford.edu/housenumbers/test_32x32.mat to ./datasets/test_32x32.mat
Train dataset: <torch.utils.data.dataset.ConcatDataset object at 0x7fb82008a070>
Val dataset: Dataset SVHN
    Number of datapoints: 26032
    Root location: ./datasets
    Split: test
    StandardTransform
Transform: ToTensor()
torch.Size([1024, 3072])
torch.Size([1024])
torch.Size([512, 1024])
torch.Size([512])
torch.Size([256, 512])
torch.Size([256])
torch.Size([128, 256])
torch.Size([128])
torch.Size([64, 128])
torch.Size([64])
torch.Size([32, 64])
torch.Size([32])
torch.Size([10, 32])
torch.Size([10])
Downloading http://ufldl.stanford.edu/housenumbers/extra_32x32.mat to ./datasets/extra_32x32.mat
Downloading http://ufldl.stanford.edu/housenumbers/train_32x32.mat to ./datasets/train_32x32.mat
Downloading http://ufldl.stanford.edu/housenumbers/test_32x32.mat to ./datasets/test_32x32.mat
Train dataset: <torch.utils.data.dataset.ConcatDataset object at 0x7f9890de6070>
Val dataset: Dataset SVHN
    Number of datapoints: 26032
    Root location: ./datasets
    Split: test
    StandardTransform
Transform: ToTensor()
Pre-training accuracy'
'[{'val_loss': 2.306940793991089, 'val_acc': 0.0914904996752739}]
Pre-training accuracy'
'[{'val_loss': 2.306940793991089, 'val_acc': 0.0914904996752739}]
Epoch [0], val_loss: 2.2273, val_acc: 0.1959
Epoch [0], val_loss: 2.2273, val_acc: 0.1959
Epoch [1], val_loss: 2.2268, val_acc: 0.1959
Epoch [1], val_loss: 2.2268, val_acc: 0.1959
Epoch [2], val_loss: 2.2208, val_acc: 0.1959
Epoch [2], val_loss: 2.2208, val_acc: 0.1959
Epoch [3], val_loss: 2.0237, val_acc: 0.2231
Epoch [3], val_loss: 2.0237, val_acc: 0.2231
Epoch [4], val_loss: 1.8875, val_acc: 0.3333
Epoch [4], val_loss: 1.8875, val_acc: 0.3333
Epoch [5], val_loss: 1.7769, val_acc: 0.4062
Epoch [5], val_loss: 1.7769, val_acc: 0.4062
Epoch [6], val_loss: 1.2502, val_acc: 0.5958
Epoch [6], val_loss: 1.2502, val_acc: 0.5958
Epoch [7], val_loss: 1.0565, val_acc: 0.6717
Epoch [7], val_loss: 1.0565, val_acc: 0.6717
Epoch [8], val_loss: 0.8537, val_acc: 0.7435
Epoch [8], val_loss: 0.8537, val_acc: 0.7435
Epoch [9], val_loss: 0.7467, val_acc: 0.7761
Epoch [9], val_loss: 0.7467, val_acc: 0.7761
Epoch [0], val_loss: 0.6132, val_acc: 0.8208
Epoch [0], val_loss: 0.6132, val_acc: 0.8208
Epoch [1], val_loss: 0.6043, val_acc: 0.8233
Epoch [1], val_loss: 0.6043, val_acc: 0.8233
Epoch [2], val_loss: 0.5966, val_acc: 0.8257
Epoch [2], val_loss: 0.5966, val_acc: 0.8257
Epoch [3], val_loss: 0.5897, val_acc: 0.8270
Epoch [3], val_loss: 0.5897, val_acc: 0.8270
Epoch [4], val_loss: 0.5835, val_acc: 0.8287
Epoch [4], val_loss: 0.5835, val_acc: 0.8287
Epoch [5], val_loss: 0.5771, val_acc: 0.8304
Epoch [5], val_loss: 0.5771, val_acc: 0.8304
